time (s),yaw,pitch,roll,battery,x reading (m),y reading (m),z reading(m),altitude (m),loop rate (Hz),target altitude (m)
5.814,-14.812895359945953,4.181508602424691,-0.09620291165611182,60,0.9401189684867859,1.0340529680252075,0.9185282588005066,0.9205066154906101,280.4054017916834,0.0
5.864,-14.812544063930046,4.357561228496319,-0.0033636438749030826,60,0.9408211708068848,1.031245231628418,0.9192502498626709,0.9193719571732166,280.4054017916834,0.0
5.915,-14.814412410568073,4.306404391703418,-0.04423267039258458,60,0.940170407295227,1.0369540452957153,0.9172333478927612,0.9184167555398726,280.4054017916834,0.0
5.965,-14.81602202564026,4.2422888288329155,-0.0684296622614279,60,0.9386827349662781,1.0389800071716309,0.9172235727310181,0.9178410373683223,280.4054017916834,0.0
6.015,-14.814375467030628,4.294582018872555,0.036587169686623115,60,0.9390028715133667,1.0279226303100586,0.9202560186386108,0.918764357237827,287.5962698848053,0.0
6.068,-14.816031253623514,4.19987783381373,-0.009360948401264788,60,0.9378102421760559,1.0235010385513306,0.9236853122711182,0.9205379280114524,287.5962698848053,0.0
6.119,-14.816146725361772,4.3124769540729,0.03473206514786283,60,0.9387191534042358,1.0298917293548584,0.922356128692627,0.9225171047864597,287.5962698848053,0.0
6.169,-14.81513755870797,4.2256599393296534,-0.035651926506083426,60,0.9380605220794678,1.0311620235443115,0.9235355257987976,0.9228581831897028,287.5962698848053,0.0
6.22,-14.816626186595705,4.320512407228914,-0.08676326003911003,60,0.9448063969612122,1.0324323177337646,0.9307548999786377,0.9262270242984911,287.5962698848053,0.0
6.27,-14.81551466123175,4.373210556916269,-0.05920886772852826,60,0.942536473274231,1.0336202383041382,0.9272914528846741,0.9271390946675201,287.5962698848053,0.0
6.32,-14.815983184123116,4.298095966337323,-0.016842937669861727,60,0.939460277557373,1.0332534313201904,0.9264759421348572,0.9270000994197971,287.5962698848053,0.0
6.374,-14.816215555569405,4.228065665634567,-0.02821602829612313,60,0.9362022280693054,1.0322047472000122,0.9311292171478271,0.928364393045755,287.5962698848053,0.0
6.424,-14.817451723146123,4.434310005663328,0.03499602320098851,60,0.9429640173912048,1.0284343957901,0.9315327405929565,0.9297574907048929,287.5962698848053,0.0
6.475,-14.818597924268284,4.2186804336816595,-0.04406961576448023,60,0.9413303732872009,1.0260355472564697,0.9304299354553223,0.9304155059164892,287.5962698848053,0.0
6.525,-14.816603373340039,4.399695871552428,0.09185402321611293,60,0.942048966884613,1.0248414278030396,0.9328656196594238,0.93106088482575,287.5962698848053,0.0
6.576,-14.817001158604526,4.314722079378969,0.01628731536851766,60,0.9445099234580994,1.0293903350830078,0.930785596370697,0.9310616340129666,295.7275611647747,0.0
6.631,-14.818600322030711,4.449074288250939,-0.21220555933929822,60,0.9452558755874634,1.0321574211120605,0.9284405708312988,0.9302203581200909,295.7275611647747,0.0
6.682,-14.82270072563387,4.224351696869884,-0.049779148715011344,60,0.951234757900238,1.034788966178894,0.9313443899154663,0.9305854046466241,295.7275611647747,0.0
6.733,-14.823724187811147,4.256355494938912,0.07473725160660084,60,0.9468262195587158,1.0412492752075195,0.9253108501434326,0.9279043173105973,295.7275611647747,0.0
6.783,-14.826958734820709,4.192923817339948,-0.07520978701063624,60,0.9443146586418152,1.038088321685791,0.9253621697425842,0.9270002256521475,295.7275611647747,0.0
6.834,-14.82710782353629,4.2535775209795,-0.17832515425062562,60,0.9447148442268372,1.0388239622116089,0.9255214929580688,0.9260860177357325,295.7275611647747,0.0
6.884,-14.82729139235107,4.342954216140086,-0.1010429095585539,60,0.9367575645446777,1.034541130065918,0.9234024286270142,0.9253654465427423,295.7275611647747,0.0
6.936,-14.82620602899716,4.481311135405434,-0.030163481188344093,60,0.9354673624038696,1.0365655422210693,0.9249797463417053,0.9253802166406828,295.7275611647747,0.0
6.987,-14.824362650632805,4.331272649233973,-0.008200745035836043,60,0.9371755123138428,1.0375139713287354,0.92454993724823,0.925437300814743,295.7275611647747,0.0
7.038,-14.821265446525091,4.238451486005686,-0.06680632387921466,60,0.9382028579711914,1.040129542350769,0.9240978956222534,0.9245044718938633,295.7275611647747,0.0
7.088,-14.823703598289677,4.403735290529781,0.14076784750232013,60,0.9405598640441895,1.0394117832183838,0.9224159121513367,0.923576627560533,295.7275611647747,0.0
7.139,-14.822087486176041,4.305469463458063,-0.14040820142610538,60,0.9449889659881592,1.038935899734497,0.9213240146636963,0.9228928953820132,288.20889163746307,0.0
7.189,-14.821175359021641,4.294825861842913,0.007112485512850046,60,0.9417967796325684,1.0402045249938965,0.9197719097137451,0.921724266643231,288.20889163746307,0.0
7.24,-14.82091868344753,4.344178584660114,-0.03390197981476479,60,0.9456042051315308,1.0451083183288574,0.9200778007507324,0.920269776349566,288.20889163746307,0.0
7.291,-14.819200011332681,4.237557398558169,-0.13631478980664688,60,0.9506770372390747,1.049945592880249,0.92335045337677,0.9214250795853913,288.20889163746307,0.0
7.341,-14.821229936328255,4.457824369696085,0.01954518019281921,60,0.9505396485328674,1.0513908863067627,0.9208782911300659,0.9213154029256447,288.20889163746307,0.0
7.392,-14.817308171380377,4.293079830117036,-0.023074622492164056,60,0.9478440880775452,1.0493512153625488,0.9240803718566895,0.9220943896327494,288.20889163746307,0.0
7.443,-14.816952515533888,4.132885190862998,-0.004001767245433182,60,0.9445017576217651,1.0452696084976196,0.9260137677192688,0.9237342382162538,288.20889163746307,0.0
7.494,-14.821815176617434,4.382467207315822,0.10860703878588493,60,0.9358026385307312,1.0384509563446045,0.9241492748260498,0.923442604811547,288.20889163746307,0.0
7.545,-14.820465116623362,4.347005531556321,-0.0267758361061739,60,0.9434812068939209,1.0442813634872437,0.9234886765480042,0.9237427015456829,288.20889163746307,0.0
7.595,-14.822629307265027,4.2726227130412635,-0.06100506971393379,60,0.9436743855476379,1.0507489442825317,0.922950267791748,0.9238379652613833,288.20889163746307,0.0
7.646,-14.825788211296514,4.3042034675759036,-0.0630253385103729,60,0.9426883459091187,1.054567813873291,0.9252400398254395,0.9241985859392401,288.20889163746307,0.0
