time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
6.487,-25.334403939691835,0.24397313718775313,-0.08221326203503801,56,0.8238425125587511,299.7644368210406,0.9983333333333333
6.559,-25.33382984921758,0.3122598104311083,-0.10203079201442065,56,0.8201373012157931,299.7644368210406,0.9891666666666664
6.613,-25.324000927639723,0.23537506007745215,-0.11230265640641895,56,0.8259148927717381,299.7644368210406,0.9758333333333328
6.665,-25.312017324368423,0.1330454219244893,-0.1351910440608615,56,0.820861619759952,299.7644368210406,0.9624999999999991
6.716,-25.293162304906872,0.1662365597514862,-0.17243269506342757,56,0.8126848925806858,299.7644368210406,0.9508333333333322
6.769,-25.319550062090766,0.24915832770280283,-0.16762398776510853,56,0.8033958279336465,299.03778696706115,0.9399999999999986
6.82,-25.35600653048126,0.05655315824540784,-0.1695490036196528,56,0.797169148278912,299.03778696706115,0.9274999999999983
6.872,-25.387409812091413,0.1924172384376678,-0.18350062126166872,56,0.7949237994015121,299.03778696706115,0.914999999999998
6.932,-25.400255967846494,0.07970876250462654,-0.203227379242625,56,0.8090705172393798,299.03778696706115,0.9083333333333312
6.986,-25.3926726730448,0.12038994902000509,-0.21392874618540939,56,0.7998579132400836,299.03778696706115,0.8966666666666643
7.038,-25.39154240494164,0.1313772913551402,-0.22589564921535987,56,0.799426677304084,299.03778696706115,0.884166666666664
7.088,-25.396855620699167,0.22981601889935419,-0.2524734418607191,56,0.800940404788469,299.03778696706115,0.8724999999999971
7.139,-25.379690767394784,0.3432313565946716,-0.1691083827051452,56,0.7999119793273277,299.03778696706115,0.8599999999999968
7.189,-25.372248947006717,0.1572944964557728,-0.17625867082366797,56,0.7987126960173059,299.03778696706115,0.8491666666666632
7.24,-25.34177517369533,0.18556441320839998,-0.13057432659284374,56,0.7932846228765611,299.03778696706115,0.8366666666666629
7.292,-25.32825621606448,0.1918575626773131,-0.07467973307259336,56,0.781254080954235,299.03778696706115,0.824999999999996
7.343,-25.28843890676964,0.05301511942636539,-0.12902099049507473,56,0.7602264538763487,298.6757815281635,0.8116666666666623
7.393,-25.26155094324906,0.3003907987895672,-0.11905698688277225,56,0.7508973767111601,298.6757815281635,0.8008333333333287
7.444,-25.211194644134334,0.06444145530158443,-0.007619821992371995,56,0.721617478534155,298.6757815281635,0.7883333333333284
7.495,-25.17395016754412,0.04671393370526934,0.012781131422873616,56,0.7054781081609656,298.6757815281635,0.7766666666666615
7.55,-25.152087303285555,0.08834060801674119,-0.033424363893929464,56,0.7059473578442164,298.6757815281635,0.7658333333333279
7.601,-25.063411474468634,0.2527516544286871,-0.06398847391302338,56,0.6834874000197305,298.6757815281635,0.7533333333333276
7.655,-24.976043318311323,0.22372990315187624,0.08815246704883957,56,0.6694618244431205,298.6757815281635,0.739999999999994
